1990-05-07-DruzPolZb-s001-01,119,"Spominjam se še iz èasov, ki so danes splošno stigmatizirani kot svinèeni, nedemokratièni, da se je ta dilema med javnim in tajnim glasovanjem zelo pogosto pojavljala, da je bila polemika zelo ostra oziroma polemike veliko niti ni bilo, ker je veèina oziroma tisti, ki je držal oblast tako ali pa drugaèe v rokah, vedno polemiko zaprl z argumentom, da je zavest ljudi, zlasti pa delegatov in drugih, ki opravljajo pomembne funkcije, že tako dovolj visoka, da lahko glasujejo javno, da je tajno glasovanje oziroma izogibanje javnemu glasovanju predznak strahopetnosti oziroma šibkosti znaèaja in da tak èlovek, ki si ne upa javno predstaviti svojega mnenja in svojega glasu, sploh ne zasluži, da bi opravljal neko pomembnejšo funkcijo, kaj šele delegatsko."
1990-05-07-ZbObc-s001-01,137,"Sedaj zahtevati spremembo dnevnega reda, potem ko so te možnosti bile izèrpane, potem ko smo se morali nujno in na hitro v klubu Demosovih poslancev dogovoriti o imenih za druga poslanska mesta, predvsem funkcionarjev Skupšèine, je pravzaprav skorajda izsiljevanje spremembe dnevnega reda in skozi to spremembe hierarhije v poslanskih sedežih najvišjega ranga parlamenta, zato menim in zagovarjam tu stališèe kluba Demosa, ki smo ga danes zjutraj sprejeli, da se v takem primeru, èe bi do tega prišlo - in je prišlo - ne strinjamo s spremembo dnevnega reda in zahtevamo, da dnevni red, takšen kot je bil predložen, uveljavimo in da tudi predlagamo delegate za najvišja mesta, tako kot jih paè bomo skozi najbolj demokratièno obliko tudi uveljavili, tako da vsakdo lahko sam pride s svojim predlogom do predsednika in se o tem potem na tajnem glasovanju tudi izjasnimo."
1990-05-07-ZbZdruDel-s001-01,86,"Najprej je tu amandma k 10. èlenu zaèasnega poslovnika, kjer v drugem odstavku predlagamo, da se številka 10 nadomesti s številko 5. Naša argumentacija za ta predlog je naslednja: predlagamo, da je to število manjše iz preprostega razloga, ker Liberalna stranka v svojem bistvu, v svojih programskih izhodišèih, podpira oziroma enakovredno obravnava veèino in manjšino in èe je ta skupšèina proporcionalna, in èe želimo, da se v tem parlamentu sliši glas tudi najmanjšega možnega števila poslancev, predlagamo, da je ta spodnja številka 5 in ne 10."
1990-05-08-DruzPolZb-s001-02,74,"Bi bila pa možnost, da se do srede sestanejo predstavniki strank, slišal sem najmanj, ne preden sem predlagal, oceno, kaj se je dogajalo v tej skupšèini in ocenjam možnost, ali lahko sporazumno storimo kaj, da bi bilo delo v naši skupšèini uspešnejše, in da bi tisti, ki bi bili voljeni po proceduri, imeli obèutek, da za njimi stoji širši konsenz kot pa samo podpora v stranki oziroma v strankarski koaliciji, ki jih je predlagala."
1990-05-08-VsiZbor-d001-01,64,"Hkrati pa bi predlagal in mislim, da to ni mogoèe oceniti kot obstrukcijski predlog, ampak kot konstruktivni predlog, da takoj za tem, ker imamo zdaj skupno sejo, pretehtamo možnost, da sedaj, ko sedimo poslanci vseh treh zborov skupaj, menjamo odloèitev Zbora obèin in Družbenopolitiènega zbora v vrstnem redu volitev funkcionarjev Skupšèine in izkoristimo to priložnost, ko smo vsi skupaj in poskušamo izvoliti predsednika Skupšèine."
1990-05-08-ZbObc-s001-02,185,"Poklicani delegat naj se javi pri mizi in dvigne glasovalni listek: Žampa Janez, Železnik Andrej, Žižek Vili, Žunter Anton, Atešek Ivan ga ni, Bevc Stanislav, Bizjak Ivan, Božiè Danijel, Bukovec Janoš ga ni, Deželak Janko (to sem jaz, hvala), Dragovan Slavko, Dvornik Marjan, Feltrin Franci, Flego Izabela je ni, Franko Karel, Felih Leopold, Gale Janez, Glaviè dr. Peter ga ni, Gradišek Cvetko, Gradadolnik Jože, Gregurec dr. Slavko, Gros Vitomir, Grošelj Leopold, Ivanušiè Zvonko, Jakelj Ljubo, Jaklin Jože, Jamnik Alojz, Juri Aurelijo, Kac Albin ga ni, Klavora Fedja, Kokošinek Ervin ga ni, Kotnik Ludvik, Kovaè Franc, Kramer Tone, Kramberger Janez, Kramer Jože, Kuhar Ivan, Kuzman Anton, Lovec Aleksander ga ni, Lovšin Franc, Lukaè Janez, Mencinger Auguštin Alojzij, Mesièek Ivan, Metelko Alojz, Mlakar Marjan, Novak Branko, Ogrin Franc, Oven Edvard, Partljiè Anton, Pavšiè Tomaž, Peskar Matjaž, Planinšek Franc, Podveršiè Bruno, Potoènik Viktorija, Protner Jože, Rainer Niko, Zdevšek Borut, Režun Janez, Rojec Anton, Schwarzbartl Ervin, Senèur Miloš, Slejko Vladimir, Stadler Marko, Stariha Janez, Starman Danijel, Urbanèiè Miloš, Vivod dr. Ivan, Vodopivec Ivan ga ni, Volk Milan, Zakonjšek Jože, Šonc Metod, Štefanèiè Marcel, Štrumbelj Tomaž, Štular Vojka, Èele Ivan."
1990-05-08-ZbZdruDel-s001-02,77,"Najprej zaradi tega, ker je ena stran in to tista, ki je amandma predlagala, naredila korak nazaj, zaradi tega, da bi paè nekaj dobila in drugiè, sedaj ne razumem samega sebe, kako naj glasujem. zaradi vsega tega menim in zdi se mi, da ne samo, da capljamo na istem mestu v našem skupšèinskem sistemu, ampak da delamo korake celo nazaj in to me boli, da najmanj kar lahko naredimo neodvisni delegati je, da se vzdržimo tega glasovanja."
1990-05-09-VsiZbor-s001-01,94,"Med tem je tudi estonski parlamente oziroma vrhovni sovjet, kot oni ta organ imenujejo, razglasil neodvisnost in zato predlagam, še preden se diskusija zaène, spremembo teksta resolucije, in sicer v tem smislu, da se v odstavku, ki je krepko tiskan, da tekst glasi tako: ""Slovenska skupšèina kot najvišji državni organ Republike Slovenije priznava odloèite litovskega, estonskega in letonskega parlamenta o neodvisnosti Litve, Estonije in Letonske, s èimer Slovenija priznava Litvo, Estonijo in Letonsko kot suverene države litovskega, estonskega in letonskega naroda, ki sami odloèajo o povezavah z drugimi narodi oziroma o svoji popolni samostojnosti."
1990-05-09-ZbObc-s001-03,81,"Lahko bi rekel, kar precejšen del tudi nastopnega govora tovariša Franca Buèarja, ki je tak, moram reèi, da so ga morda zlasti ti mladi fantje, kar zadeva tudi rušenje enopartijskega sistema in demokracije pravne države z velikim trudom in z muko že uveljavljali, zato ga lahko sprejmem tudi za svojega, èeprav bi me morda še bolj veselilo, da bi ob vsej analizi dosedanjega našega življenja po vojni vseboval tudi kakšen radikalni prispevek o viziji oziroma prihodnosti slovenskega naroda in slovenske države."
1990-05-09-ZbZdruDel-s001-03,64,"Svoj predlog obrazlagamo s tem, da smo v teh dneh opazovali, predvsem v napetih situacijah, kako so reagirali posamezni naši sodelegati in smo se predlagatelji, mislim, da nas je okoli 13 podpisanih in še nekateri drugi, ki se formalno niso podpisali, se pa strinjajo s tem predlogom, zedinili, da sta ta dva naša sodelegata napravila dober vtis in konstruktivno sodelovala v dokaj zapletenih trenutkih."
