26,"Spoštovani gospod predsednik, gospe in gospodje ter vsi gostje na današnji svečanosti, za nami je leto, v katerem so se za slovenski narod zgodile zgodovinske stvari."
23,"Demokracija in naslonitev na sposobnosti slehernega posameznika, ki sta temelj te ustave, zato nista samo politični okrasek, pač pa pogoj za naše preživetje."
28,"V tem pogledu so se razmere odločno premaknile v smer, da vedno več svojih interesov lahko ostvarjamo le v sodelovanju z drugimi, vedno več celo na nadnacionalni ravni."
5,Je pa zanikanje absolutne svobode.
6,Ta ustava začne s tem veljati!
27,"Na podlagi teh rezultatov ugotavljam, da je vsak zbor sklepčen, s tem pa v skladu z določbami 72. ustavnega amandmaja k ustavi Republike Slovenije tudi skupna seja."
16,"Glede na to, da je ustava bila sprejeta, mi dovolite, da preberem akt o razglasitvi ustave."
3,Kdo je proti?
2,Hvala lepa.
7,Prve države so nas že začele priznavati.
50,"Preden bi nadaljevali, mi dovolite, da spregovorim nekaj besed glede na to, da so med predsedniki zborov - Družbenopolitičnega zbora, Zbora združenega dela in Zbora občin obvestili, da so vsi trije zbori na današnjih sejah sprejeli predlog Ustave Republike Slovenije, ki jim ga je v sprejem predložila ustavna komisija dne 6.12.1991."
11,Ustavni zakon za izvedbo ustave Republike Slovenije začne s tem veljati.
33,"""Ker je izpolnjen pogoj iz 174. člena ustave Republike Slovenije, sprejema Skupščina Republike Slovenije na skupni seji vseh zborov dne 23. decembra 1991 odlok o razglasitvi ustavnega zakona za izvedbo ustave Republike Slovenije."
46,"Res živimo v času, ki je nabit z nadvse pomembnimi dogodki, ki se prehitevajoče zgoščajo v en samo mogočen tok, da od zanosa in čustvene preobremenjenosti, odgovornosti, ki jo komaj lahko še razumsko dojemamo, skoraj nismo več sposobni zaznavati pomembnosti posameznega vrha v tem velikem valovanju."
20,"Upamo, da bodo rezultati vašega dela vlili upanje za boljše čase nas vseh, predvsem pa bodočih rodov in generacij Slovencev."
15,"Življenje v vedno naraščajoči soodvisnosti nam je tako pot, ki se ji ni mogoče izogniti."
14,"Sem Anica Težak, letošnja princesa Društva vinogradnikov iz Prekmurskih goric, Goričko iz Murske Sobote."
